iter	Logloss
0	0.6926649809
1	0.6921077967
2	0.6916129589
3	0.691051662
4	0.6905550957
5	0.6901765466
6	0.6896374226
7	0.6891623139
8	0.6886460185
9	0.6880587339
10	0.6876422167
11	0.6871945262
12	0.6867477894
13	0.6861408949
14	0.6856656075
15	0.6851537228
16	0.6846939325
17	0.6841554642
18	0.6836895347
19	0.6832644939
20	0.6826941967
21	0.682292819
22	0.681807518
23	0.6811213493
24	0.6807306409
25	0.6800788045
26	0.6794145107
27	0.6789494157
28	0.6783120632
29	0.6775863171
30	0.6769813299
31	0.6762882471
32	0.6757733822
33	0.6750751734
34	0.6747173071
35	0.6742624044
36	0.6738761663
37	0.6732057929
38	0.6725947261
39	0.6721660495
40	0.6716557741
41	0.671169579
42	0.6707342267
43	0.6703145504
44	0.6698486805
45	0.6693066359
46	0.6689573526
47	0.6684128046
48	0.6678074598
49	0.6673346162
50	0.6667027473
51	0.6661236286
52	0.6657093763
53	0.6653056145
54	0.6647629738
55	0.6641482711
56	0.6635462046
57	0.6630093455
58	0.6625285149
59	0.6621460319
60	0.6616560221
61	0.6610682011
62	0.6606320739
63	0.6601287127
64	0.6597144604
65	0.6592218876
66	0.6586787701
67	0.6582965851
68	0.6579517126
69	0.65736866
70	0.6570394635
71	0.6567370296
72	0.6563757658
73	0.656009376
74	0.6554966569
75	0.6550258398
76	0.6542078257
77	0.6537922621
78	0.6532155871
79	0.6528648734
80	0.6524753571
81	0.6520382166
82	0.6514570713
83	0.6510556936
84	0.6505084038
85	0.6501381993
86	0.6497687697
87	0.6492955089
88	0.648750484
89	0.6483075619
90	0.6480451226
91	0.6475504637
92	0.6470984817
93	0.6465431452
94	0.6460857391
95	0.6454472542
96	0.6450254917
97	0.6447098851
98	0.6441922784
99	0.6437753439
100	0.6434010267
101	0.6429491639
102	0.6424789429
103	0.6421633959
104	0.6418180466
105	0.6414854527
106	0.6409122944
107	0.6404612064
108	0.6399062872
109	0.6395733953
110	0.639119029
111	0.6387103796
112	0.6382600069
113	0.6377857924
114	0.6373171806
115	0.6369811296
116	0.636341393
117	0.6358330846
118	0.6353792548
119	0.6348023415
120	0.6343057752
121	0.6339108944
122	0.6336032152
123	0.633004427
124	0.632594943
125	0.6321823597
126	0.6317162514
127	0.6313175559
128	0.6310299635
129	0.6306310892
130	0.6300873756
131	0.6295744181
132	0.6289783716
133	0.6286563277
134	0.628301084
135	0.6278796196
136	0.6275766492
137	0.6272500753
138	0.6268700957
139	0.6263839006
140	0.6259675026
141	0.6251764894
142	0.6246576309
143	0.6242607832
144	0.6239871979
145	0.6233812571
146	0.622897625
147	0.6222003698
148	0.621714592
149	0.6211192608
150	0.6206927896
151	0.6203627586
152	0.6200651526
153	0.6197607517
154	0.6192473173
155	0.6189422011
156	0.6183730364
157	0.6178469062
158	0.6173743606
159	0.6171200275
160	0.6165790558
161	0.616117239
162	0.6158144474
163	0.615470171
164	0.6150685549
165	0.6145190001
166	0.6141193509
167	0.6136366129
168	0.6132602692
169	0.6130052805
170	0.6125566959
171	0.6120403409
172	0.6116617322
173	0.6111547947
174	0.6106169224
175	0.6100604534
176	0.6096308231
177	0.6093382835
178	0.6089900732
179	0.6085612774
180	0.6081222296
181	0.6077793837
182	0.6073020697
183	0.6067570448
184	0.6062505245
185	0.6057521105
186	0.6051684618
187	0.6047576666
188	0.6044434905
189	0.6039711833
190	0.6035549045
191	0.6030227542
192	0.6027036905
193	0.6023081541
194	0.6019694805
195	0.6015568972
196	0.6012707949
197	0.600954473
198	0.6005688906
199	0.6000951529
200	0.5995734334
201	0.5991517305
202	0.5987377763
203	0.5982675552
204	0.5977419615
205	0.5974039435
206	0.5969978571
207	0.5966795683
208	0.5960701704
209	0.5955450535
210	0.5950388908
211	0.5948178172
212	0.5942676067
213	0.5939611197
214	0.5933306217
215	0.5927756429
216	0.5922155976
217	0.5919860601
218	0.5915213227
219	0.5911977291
220	0.5908645391
221	0.5906178355
222	0.5902761221
223	0.5900608301
224	0.5897493362
225	0.5892501473
226	0.5889655948
227	0.5887242556
228	0.5883747339
229	0.5880535841
230	0.5878248811
231	0.5872952342
232	0.5867568851
233	0.5864093304
234	0.5861623883
235	0.5856330395
236	0.5851920843
237	0.5849003792
238	0.5844557285
239	0.5841447115
240	0.5837877989
241	0.5832564235
242	0.5827289224
243	0.5824466944
244	0.5819859505
245	0.5817494392
246	0.5813577175
247	0.5810129642
248	0.5807501078
