iter	F1	Logloss
0	0.9491525424	0.6922625829
1	0.9491525424	0.6914290403
2	1	0.6907472208
3	1	0.6896459029
4	1	0.6886881083
5	1	0.6877073239
6	1	0.6868046542
7	1	0.6861662028
8	1	0.6854086782
9	1	0.6846116762
10	1	0.6838844204
11	1	0.6828166874
12	1	0.682035578
13	1	0.6812958996
14	1	0.6805501272
15	1	0.6793409249
16	1	0.6784159746
17	1	0.6777778494
18	1	0.6770628624
19	1	0.6763436137
20	1	0.6757930134
21	1	0.6751855135
22	1	0.6743097928
23	1	0.6736708258
24	1	0.6731125808
25	1	0.6723328548
26	1	0.6715764144
27	1	0.6706918068
28	1	0.669951978
29	1	0.6691971428
30	1	0.6684814105
31	1	0.6678268723
32	1	0.667102369
33	1	0.6664561374
34	1	0.6654798807
35	1	0.6645748758
36	1	0.6637933108
37	1	0.6629186058
38	1	0.6622390675
39	1	0.6615407749
40	1	0.6608371293
41	1	0.6601285703
42	1	0.6592547959
43	1	0.6585499828
44	1	0.6578323903
45	1	0.6570567595
46	1	0.6564226203
47	1	0.6554665823
48	1	0.6547337439
49	1	0.6542435393
50	1	0.65355503
51	1	0.6527800023
52	1	0.6519347135
53	1	0.6512083029
54	1	0.6505931425
55	1	0.6499120093
56	1	0.6490203648
57	1	0.6481746029
58	1	0.6471770912
59	1	0.6464399837
60	1	0.6455844962
61	1	0.6448762481
62	1	0.6442465233
63	1	0.6435502845
64	1	0.6425963248
65	1	0.641872311
66	1	0.6412290771
67	1	0.6405528937
68	1	0.6397894664
69	1	0.6391419798
70	1	0.6383133234
71	1	0.6377037901
72	1	0.6367134563
73	1	0.6361020788
74	1	0.6354519716
75	1	0.6347292666
76	1	0.6339692415
77	1	0.6333373186
78	1	0.6326306677
79	1	0.631814654
80	1	0.6310342192
81	1	0.6303086743
82	1	0.6296311429
83	1	0.6290599213
84	1	0.6283620073
85	1	0.6276294632
86	1	0.6268966169
87	1	0.6261908526
88	1	0.6253243354
89	1	0.6248267109
90	1	0.6241560405
91	1	0.6231211036
92	1	0.6223434713
93	1	0.6216658555
94	1	0.6210656613
95	1	0.6203902643
96	1	0.6199445699
97	1	0.619518706
98	1	0.6187545673
99	1	0.6181620012
100	1	0.6173539876
101	1	0.616524696
102	1	0.6156828018
103	1	0.6150252078
104	1	0.6143165695
105	1	0.6136952794
106	1	0.6129381243
107	1	0.6124520128
108	1	0.6117326955
109	1	0.6110787822
110	1	0.6104723732
111	1	0.6099033376
112	1	0.6091742284
113	1	0.6085848055
114	1	0.6078286998
115	1	0.6071095772
116	1	0.6065128183
117	1	0.6059832633
118	1	0.605420103
119	1	0.6048501749
120	1	0.604286715
121	1	0.6035215458
122	1	0.6029593096
123	1	0.6023155586
124	1	0.6016030684
125	1	0.6010396825
126	1	0.6004064226
127	1	0.5996807284
128	1	0.5991544858
129	1	0.5985078292
130	1	0.597805464
131	1	0.5971090621
132	1	0.5963448774
133	1	0.5959163635
134	1	0.5951767373
135	1	0.5944861066
136	1	0.5938350646
137	1	0.5929813196
138	1	0.5923746947
139	1	0.5917672166
140	1	0.5912124683
141	1	0.5905041029
142	1	0.5898879648
143	1	0.5890300453
144	1	0.5884092622
145	1	0.5877358019
146	1	0.5870868648
147	1	0.5864267695
148	1	0.5857981161
149	1	0.5852499238
150	1	0.5845715168
151	1	0.5837885525
152	1	0.5829864519
153	1	0.5822563153
154	1	0.5816336794
155	1	0.5811010059
156	1	0.5803624184
157	1	0.5798601673
158	1	0.5793256877
159	1	0.5786859034
160	1	0.5779142396
161	1	0.5773860526
162	1	0.5768802752
163	1	0.5762929685
164	1	0.5756517503
165	1	0.5749287317
166	1	0.5743263492
167	1	0.5737975717
168	1	0.5733843518
169	1	0.572835225
170	1	0.5720212814
171	1	0.5715705627
172	1	0.5708693524
173	1	0.5703095636
174	1	0.5694343285
175	1	0.5689048027
176	1	0.5682695717
177	1	0.5676974253
178	1	0.5671725233
179	1	0.566400602
180	1	0.5657795469
181	1	0.5652580732
182	1	0.5646424609
183	1	0.5642653859
184	1	0.5636713383
185	1	0.5629905761
186	1	0.5624465562
187	1	0.5619400577
188	1	0.5613209873
189	1	0.5606911085
190	1	0.5600842692
191	1	0.5594950191
192	1	0.5588752823
193	1	0.5582258169
194	1	0.5576830465
195	1	0.5569870277
196	1	0.5565586151
197	1	0.5560012424
198	1	0.5553581441
199	1	0.5546623332
200	1	0.5541201709
201	1	0.5534180721
202	1	0.552804498
203	1	0.5520404666
204	1	0.5514403708
205	1	0.5508456262
206	1	0.5502080072
207	1	0.5496543923
208	1	0.5491877466
209	1	0.5486885535
210	1	0.5481086825
211	1	0.5474436862
212	1	0.5467811448
213	1	0.5462104775
214	1	0.5456089977
215	1	0.5451663379
216	1	0.5444634591
217	1	0.5437882991
218	1	0.5431683437
219	1	0.5424555315
220	1	0.5420172545
221	1	0.5412523243
222	1	0.5406223529
223	1	0.5400171351
224	1	0.539317646
225	1	0.538738143
226	1	0.5381096463
227	1	0.537633824
228	1	0.5370635336
229	1	0.5365140066
230	1	0.5360079935
231	1	0.5353399377
232	1	0.5347692326
233	1	0.5342989893
234	1	0.5337426863
235	1	0.5331759445
236	1	0.5325551019
237	1	0.532115794
238	1	0.5316146498
239	1	0.531193815
240	1	0.5305589141
241	1	0.5300819514
242	1	0.5296614744
243	1	0.5290907402
244	1	0.5285824685
245	1	0.5281376739
246	1	0.5277324245
247	1	0.5271919584
248	1	0.5265477628
249	1	0.525983983
250	1	0.5254386531
251	1	0.5249117168
252	1	0.5244273579
253	1	0.5239156356
254	1	0.523267023
255	1	0.5227441255
